S.No,Topic,Subtopic,Level,Question,question_image,Options (JSON),Solution (Correct Option Number),Explanation,image_url
45.0,Data Sufficiency,Arithmetic Data Sufficiency,hard,"A set S consists of 'n' consecutive positive integers. What is the value of 'n'?

Statement (1): The sum of the integers in the set is 105.
Statement (2): The product of the integers in the set is a multiple of 819.",no image,"{""1"":""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient to answer the question."",""2"":""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient to answer the question."",""3"":""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient to answer the question."",""4"":""Statements (1) and (2) TOGETHER are NOT sufficient to answer the question.""}",4.0,"The correct option is 4 because the information provided in both statements, even when combined, is not sufficient to determine a unique value for 'n'.

Let's analyze Statement (1). Let the first integer in the sequence be 'k', where k is a positive integer (k = 1). The sum of 'n' consecutive integers is given by the arithmetic progression formula: Sum = (n/2) * (first term + last term). The last term is k + n - 1. So, 105 = (n/2) * (k + k + n - 1), which simplifies to 210 = n * (2k + n - 1). Since k = 1, we have 2k = 2, which means (2k + n - 1) = (2 + n - 1) = n + 1. So, 'n' and '(2k + n - 1)' are two factors of 210, where 'n' is the smaller factor. The factors of 210 are 1, 2, 3, 5, 6, 7, 10, 14, 15, 21, 30, 35, 42, 70, 105, 210. We can find multiple pairs that work. For example, if n = 6, then 2k + 5 = 35, so 2k = 30 and k = 15. This is a valid sequence. If n = 7, then 2k + 6 = 30, so 2k = 24 and k = 12. This is also a valid sequence. Since 'n' can be 6, 7, or other values, statement (1) alone is not sufficient.

Now, let's analyze Statement (2). The product of the integers is a multiple of 819. First, we find the prime factorization of 819: 819 = 9 * 91 = 3^2 * 7 * 13. This means the set of 'n' consecutive integers must contain factors that multiply to 819. Specifically, the product must be divisible by 9, 7, and 13. We can construct sets of consecutive integers of different lengths that satisfy this. For example, the set {7, 8, 9, 10, 11, 12, 13} has n=7; its product is divisible by 7, 9, and 13. Another example is the set {6, 7, 8, 9, 10, 11, 12, 13}, where n=8; its product is also divisible by 7, 9, and 13. Since 'n' is not unique, statement (2) alone is not sufficient.

Finally, let's combine both statements. From statement (1), we found a set of possible values for 'n', which includes {1, 2, 3, 5, 6, 7, 10, 14}. We must check which of these cases also satisfy statement (2). 
Case n=7: From (1), k=12. The set is {12, 13, 14, 15, 16, 17, 18}. This set contains 13, 14 (a multiple of 7), and 18 (a multiple of 9). The product is a multiple of 819. So, n=7 is a possible answer.
Case n=10: From (1), k=6. The set is {6, 7, 8, 9, 10, 11, 12, 13, 14, 15}. This set contains 7, 9, and 13. The product is a multiple of 819. So, n=10 is a possible answer.
Case n=14: From (1), k=1. The set is {1, 2, ..., 14}. This set contains 7, 9, and 13. The product is a multiple of 819. So, n=14 is a possible answer.
Since we have found at least three possible values for 'n' (7, 10, and 14) that satisfy both statements, we cannot determine a unique value for 'n'. Thus, the statements together are not sufficient.

Therefore, option 1 is incorrect because statement (1) is not sufficient. Option 2 is incorrect because statement (2) is not sufficient. Option 3 is incorrect because combining both statements does not yield a unique answer.",
46.0,Data Sufficiency,Algebraic Data Sufficiency,easy,"What is the value of the expression shown in the image?

Statement (1): 3x - 1 = 11
Statement (2): x / 2 = 2",Algebraic Data Sufficiency_1766421263633.png,"{""1"":""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."",""2"":""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."",""3"":""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."",""4"":""EACH statement ALONE is sufficient.""}",4.0,"To find the value of the expression in the image, we need to determine a unique value for 'x'.

From Statement (1), we have the equation 3x - 1 = 11. Solving for x, we add 1 to both sides to get 3x = 12. Dividing by 3, we find x = 4. Since this gives a unique value for x, we can find the value of the expression (4 + 8 = 12). Therefore, Statement (1) alone is sufficient.

From Statement (2), we have the equation x / 2 = 2. Solving for x, we multiply both sides by 2 to get x = 4. This also gives a unique value for x, allowing us to find the value of the expression (4 + 8 = 12). Therefore, Statement (2) alone is also sufficient.

Since each statement by itself is sufficient to answer the question, the correct option is 4. Options 1 and 2 are incorrect because both statements are sufficient, not just one. Option 3 is incorrect because the statements do not need to be combined.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Algebraic_Data_Sufficiency_1766421263633.png?
47.0,Data Sufficiency,Algebraic Data Sufficiency,medium,"If p and q are non-zero numbers, what is the value of the expression shown in the image?

Statement (1): 4p + 10q = 0
Statement (2): p² = 25",Algebraic Data Sufficiency_1766421335371.png,"{""1"":""Statement (1) alone is sufficient, but statement (2) alone is not sufficient."",""2"":""Statement (2) alone is sufficient, but statement (1) alone is not sufficient."",""3"":""Both statements together are sufficient, but neither statement alone is sufficient."",""4"":""Each statement alone is sufficient.""}",1.0,"To determine the value of the expression, we need to find a unique value for (p/q)². 

Let's analyze Statement (1): 4p + 10q = 0. This can be rearranged to 4p = -10q. Since q is non-zero, we can divide both sides by q, which gives 4(p/q) = -10. Dividing by 4 gives p/q = -10/4 = -5/2. Now, we can find the value of the expression: (p/q)² = (-5/2)² = 25/4. Since we found a unique value, Statement (1) alone is sufficient.

Let's analyze Statement (2): p² = 25. This means p = 5 or p = -5. However, this statement provides no information about the value of q. Since q can be any non-zero number, the ratio p/q can have infinitely many values. For example, if p=5, q could be 1 (p/q = 5) or q could be 2 (p/q = 5/2). The value of (p/q)² is not unique. Therefore, Statement (2) alone is not sufficient.

Since Statement (1) alone is sufficient and Statement (2) alone is not sufficient, the correct option is 1.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Algebraic_Data_Sufficiency_1766421335371.png?
48.0,Data Sufficiency,Algebraic Data Sufficiency,hard,"If `a`, `b`, and `c` are positive real numbers, what is the value of the expression designated as `E` in the image? Refer to the statements provided in the image to answer.",Algebraic Data Sufficiency_1766421478902.png,"{""1"":""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."",""2"":""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."",""3"":""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."",""4"":""Statements (1) and (2) TOGETHER are NOT sufficient to answer the question.""}",3.0,"Let the expression to be evaluated be E. It is a symmetric polynomial in a, b, and c. We can express E in terms of elementary symmetric polynomials: S1 = a+b+c, S2 = ab+bc+ca, and S3 = abc.
The identity is E = (a+b)(b+c)(c+a) = (S1-a)(S1-b)(S1-c) = S1^3 - (a+b+c)S1^2 + (ab+bc+ca)S1 - abc = S1*S2 - S3.
So, to find the value of E, we need to find the values of S1, S2, and S3.

Statement (1) provides S1 = a+b+c = 10 and S2 = ab+bc+ca = 31. Using these, E = 10 * 31 - abc = 310 - abc. Since the value of abc is not known, statement (1) alone is not sufficient. We can show that multiple sets of positive real numbers satisfy these two equations with different products 'abc', leading to different values for E.

Statement (2) provides a^3+b^3+c^3 = 160. This single equation with three variables has infinitely many solutions for a, b, and c (for example, a = (160)^(1/3), b and c approaching 0). Therefore, statement (2) alone is not sufficient.

Now, let's consider both statements together. We have S1=10, S2=31, and a^3+b^3+c^3=160. We use the identity: a^3+b^3+c^3 - 3abc = (a+b+c)(a^2+b^2+c^2 - ab-bc-ca). First, we find a^2+b^2+c^2 = (a+b+c)^2 - 2(ab+bc+ca) = S1^2 - 2*S2 = 10^2 - 2*31 = 100 - 62 = 38. Now, we substitute the known values into the identity: 160 - 3(abc) = (10)(38 - 31) = 10 * 7 = 70. This gives 3(abc) = 160 - 70 = 90, which means abc = 30. We have found a unique value for S3 = abc. Now we can calculate E = 310 - abc = 310 - 30 = 280. It's worth noting that the numbers a,b,c are the roots of the cubic t^3 - 10t^2 + 31t - 30 = 0, which are {2, 3, 5}, all positive real numbers, so the premises are consistent. Since we found a unique value for E, both statements together are sufficient.

Therefore, option 3 is the correct answer because neither statement is sufficient on its own, but they are sufficient when combined.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Algebraic_Data_Sufficiency_1766421478902.png?
49.0,Data Sufficiency,Comparison-Based Data Sufficiency,easy,"Among three people, Amy, Ben, and Chloe, is Ben older than Chloe?

Statement (1): Ben is older than Amy, and Amy is older than Chloe.
Statement (2): Ben is older than Amy.",no image,"{""1"":""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."",""2"":""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."",""3"":""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."",""4"":""Statements (1) and (2) TOGETHER are NOT sufficient.""}",1.0,"To determine if Ben is older than Chloe, we need to find a definitive relationship between their ages. The question requires a 'Yes' or 'No' answer.

Analyzing Statement (1) alone: This statement provides two comparisons: Ben is older than Amy (Ben > Amy), and Amy is older than Chloe (Amy > Chloe). Using the transitive property, if Ben is older than Amy and Amy is older than Chloe, it must be true that Ben is older than Chloe (Ben > Chloe). This statement is sufficient to answer the question with a definite 'Yes'.

Analyzing Statement (2) alone: This statement tells us that Ben is older than Amy (Ben > Amy). However, it gives no information about Chloe's age in relation to either Ben or Amy. Chloe could be older than Ben, or younger than Amy. Since we cannot determine the relationship between Ben and Chloe, this statement is not sufficient.

Since Statement (1) alone is sufficient and Statement (2) alone is not, the correct choice is that Statement (1) alone is sufficient.",
50.0,Data Sufficiency,Comparison-Based Data Sufficiency,medium,"The variables p, q, r, and s represent four distinct positive numbers. Is q the second largest number among them? Refer to the statements provided in the image.",Comparison-Based Data Sufficiency_1766421567405.png,"{""1"":""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."",""2"":""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."",""3"":""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."",""4"":""Statements (1) and (2) TOGETHER are NOT sufficient.""}",3.0,"To determine if q is the second largest number, we need to establish the complete order of the four numbers p, q, r, and s.

First, consider Statement (1) alone. It states that p > q > r. However, it gives no information about the value of s relative to the other three numbers. The number s could be the largest, second largest, third largest, or smallest. For example, if we have the order p > q > s > r, then q is the second largest. But if we have the order s > p > q > r, then p is the second largest. Since we cannot arrive at a definite 'yes' or 'no' answer, Statement (1) alone is not sufficient.

Next, consider Statement (2) alone. It states that s > p. This provides a relationship between s and p but tells us nothing about the positions of q and r. For example, we could have the order s > q > p > r, which would make q the second largest. Alternatively, we could have s > p > q > r, which would make p the second largest. As there are multiple possibilities, Statement (2) alone is not sufficient.

Now, consider both statements together. From Statement (1), we have p > q > r. From Statement (2), we have s > p. By combining these two inequalities, we can establish a single, definitive order for all four numbers: s > p > q > r. In this order, s is the largest number, p is the second largest, q is the third largest, and r is the smallest. With this information, we can definitively answer the question ""Is q the second largest number?"" with a ""No"". Since we can provide a conclusive answer, both statements together are sufficient.

Therefore, since neither statement alone is sufficient but both are sufficient when taken together, the correct option is 3.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Comparison-Based_Data_Sufficiency_1766421567405.png?
51.0,Data Sufficiency,Comparison-Based Data Sufficiency,hard,"If p and q are non-zero integers, is p > q? To answer this question, which of the statements is/are sufficient? Refer to the image for the statements.",Comparison-Based Data Sufficiency_1766421659759.png,"{""1"":""Statement 1 alone is sufficient, but statement 2 alone is not sufficient."",""2"":""Statement 2 alone is sufficient, but statement 1 alone is not sufficient."",""3"":""Both statements together are sufficient, but neither statement alone is sufficient."",""4"":""Statements 1 and 2 together are not sufficient.""}",3.0,"The correct option is 3.

Let's analyze Statement 1. The equation given is p² = q² + 2q + 1. The right side of the equation is a perfect square, (q+1)². So, the statement is equivalent to p² = (q+1)². Taking the square root of both sides, we get two possibilities: p = q+1 or p = -(q+1). Case A: If p = q+1, then p is clearly greater than q. The answer to the question 'Is p > q?' would be 'Yes'. Case B: If p = -(q+1) = -q-1. We can't determine if p > q. For example, if q = 1 (a non-zero integer), then p = -1-1 = -2. Here, p < q. The answer is 'No'. If q = -2 (a non-zero integer), then p = -(-2)-1 = 1. Here, p > q. The answer is 'Yes'. Since we can get both 'Yes' and 'No' from Statement 1, it is not sufficient.

Now, let's analyze Statement 2. The statement is p + q > 0. This statement alone is not sufficient. For example, if p = 5 and q = 1, then p+q = 6 > 0 and p > q. The answer is 'Yes'. However, if p = 1 and q = 5, then p+q = 6 > 0 but p < q. The answer is 'No'. Thus, Statement 2 is not sufficient.

Now, let's combine both statements. From Statement 1, we have two cases: p = q+1 or p = -q-1. We must check these cases against Statement 2 (p + q > 0). In Case A (p = q+1), substituting p into the inequality from Statement 2 gives (q+1) + q > 0, which simplifies to 2q + 1 > 0, or q > -0.5. Since q is a non-zero integer, q must be a positive integer (q = 1). In this scenario, p = q+1 is always greater than q. This case consistently gives a 'Yes' answer. In Case B (p = -q-1), substituting p into the inequality from Statement 2 gives (-q-1) + q > 0, which simplifies to -1 > 0. This is a contradiction and is impossible. Therefore, Case B cannot occur when both statements are true. The only possibility when both statements are considered together is that p = q+1, which definitively means p > q. So, together the statements are sufficient.

Since neither statement is sufficient on its own, but they are sufficient when combined, the correct option is 3. Option 1 is incorrect because Statement 1 is not sufficient alone. Option 2 is incorrect because Statement 2 is not sufficient alone. Option 4 is incorrect because the combined statements are sufficient to provide a definite answer.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Comparison-Based_Data_Sufficiency_1766421659759.png?
52.0,Inequalities,Basic Inequalities,easy,Which of the following options correctly represents the solution for the inequality shown in the image?,Basic Inequalities_1766423288328.png,"{""1"":""x < -4"",""2"":""x > -4"",""3"":""x < 4"",""4"":""x > 4""}",1.0,"The correct option is 1. The inequality is -5x > 20. To solve for x, we must divide both sides by -5. A fundamental rule of inequalities is that when multiplying or dividing both sides by a negative number, the inequality sign must be reversed. Thus, the '>' sign becomes a '<' sign. Dividing 20 by -5 gives -4. Therefore, the correct solution is x < -4.

Option 2 is incorrect because the inequality sign was not reversed after dividing by -5. This is a common mistake. Option 3 is incorrect because of an arithmetic error; 20 divided by -5 is -4, not 4. Option 4 is incorrect due to both errors: the arithmetic is wrong, and the inequality sign was not reversed.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Basic_Inequalities_1766423288328.png?
53.0,Inequalities,Basic Inequalities,medium,"Given the inequalities for variables x and y and the expression E as shown in the image, which of the following options correctly represents the range of possible values for E?",Basic Inequalities_1766423361558.png,"{""1"":""-32 = E < 8"",""2"":""-32 < E = 8"",""3"":""-24 < E < 16"",""4"":""-24 < E = 0""}",1.0,"The correct option is 1.

To find the range of E = 2y - 4x, we first need to find the ranges for the terms 2y and -4x individually and then add them.

First, let's find the range for the term '-4x'. We are given -3 < x = 5. To get -4x, we multiply the inequality by -4. When multiplying an inequality by a negative number, we must reverse the inequality signs. So, (-3) * (-4) > -4x = 5 * (-4), which simplifies to 12 > -4x = -20. Writing this in the standard 'less than' format gives -20 = -4x < 12.

Next, let's find the range for the term '2y'. We are given -6 = y < -2. Multiplying by 2 (a positive number) does not change the inequality signs. So, (-6) * 2 = 2y < (-2) * 2, which simplifies to -12 = 2y < -4.

Finally, we add the two resulting inequalities to find the range of E = 2y - 4x. We add the lower bounds together and the upper bounds together: (-20) + (-12) = -4x + 2y < 12 + (-4). This simplifies to -32 = 2y - 4x < 8, which means -32 = E < 8.

Option 2 is incorrect because it confuses the strict (<) and non-strict (=) bounds. The value E = -32 is attainable when y = -6 and x = 5 (both are allowed), so the lower bound must be inclusive (=). The value E = 8 would require y = -2 and x = -3 (neither of which are allowed by the original inequalities), so the upper bound must be exclusive (<).

Option 3 is incorrect. It represents the range for the expression 2y + 4x. The range for 4x is -12 < 4x = 20. Adding this to the range for 2y gives -24 < 2y + 4x < 16.

Option 4 is incorrect and likely arises from an invalid method of calculation, such as subtracting the endpoints of the ranges for 2y and 4x, which is not a valid operation.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Basic_Inequalities_1766423361558.png?
54.0,Inequalities,Basic Inequalities,hard,"Let x, y, and z be real numbers that satisfy the set of inequalities shown in the image. Let E be the expression x^2 - yz. If the set of all possible values of E forms an interval (a, b], what is the value of b - a?",Basic Inequalities_1766423471891.png,"{""1"":""66"",""2"":""36"",""3"":""55"",""4"":""44""}",1.0,"The correct option is 1. The solution requires finding the range for x, y, and z, and then using those to find the range of the expression E = x^2 - yz.

First, we determine the interval for each variable:
For x: The inequality is |x - 3| = 2. This is equivalent to -2 = x - 3 = 2. Adding 3 to all parts gives 1 = x = 5.
For y: The inequality is |2y - 7| = 5. This is equivalent to -5 = 2y - 7 = 5. Adding 7 to all parts gives 2 = 2y = 12. Dividing by 2 gives 1 = y = 6.
For z: The inequality is -4 = z + 1 < 3. Subtracting 1 from all parts gives -5 = z < 2.

Next, we find the range for the terms in the expression E = x^2 - yz.
For x^2: Since 1 = x = 5, and x is in a positive interval, we can square the endpoints to get the range for x^2, which is 1^2 = x^2 = 5^2, so 1 = x^2 = 25.

For yz: This is the trickiest part. We have 1 = y = 6 and -5 = z < 2. To find the range of the product, we check the products of the endpoints: 1*(-5) = -5, 1*2 = 2, 6*(-5) = -30, 6*2 = 12. The minimum of these is -30, and the maximum is 12. The minimum value, -30, is achieved when y=6 and z=-5. The maximum value, 12, would be achieved if y=6 and z=2, but z cannot be 2 (z < 2). Thus, yz is strictly less than 12. The range for yz is [-30, 12).

Now, we find the range for E = x^2 - yz. This is equivalent to finding the range of x^2 + (-yz).
The range for -yz is obtained by multiplying the interval [-30, 12) by -1 and flipping the inequality signs and endpoints: -12 < -yz = 30.

To find the range of E, we add the corresponding bounds of x^2 and -yz:
Lower bound of E = (Lower bound of x^2) + (Lower bound of -yz) = 1 + (-12) = -11. Since -12 is not included in the range of -yz, -11 is not included in the range of E. So, E > -11.
Upper bound of E = (Upper bound of x^2) + (Upper bound of -yz) = 25 + 30 = 55. This value is attainable (e.g., when x=5, y=6, z=-5). So, E = 55.

Therefore, the set of all possible values for E is the interval (-11, 55]. This matches the given form (a, b], where a = -11 and b = 55. The question asks for the value of b - a, which is 55 - (-11) = 55 + 11 = 66.

Option 2 (36) is incorrect. This might result from incorrectly assuming z is non-negative (0 = z < 2), leading to a range for yz of [0, 12) and a final range for E of (-11, 25], giving a length of 36.
Option 3 (55) is incorrect. This is the maximum value of the expression, b, but not the length of the interval, b-a.
Option 4 (44) is incorrect. This might be a calculation error, such as 55 - 11 = 44, instead of 55 - (-11).",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Basic_Inequalities_1766423471891.png?
55.0,Inequalities,Linear Inequalities,easy,Find the solution set for the linear inequality shown in the image.,Linear Inequalities_1766423501458.png,"{""1"":""x = -7"",""2"":""x = -7"",""3"":""x = 7"",""4"":""x = 7""}",1.0,"The correct option is 1.

The given inequality is -6x = 42. To solve for x, we need to isolate it. This can be done by dividing both sides of the inequality by -6. A critical rule in inequalities is that when you multiply or divide both sides by a negative number, you must reverse the direction of the inequality sign. Therefore, the '=' (less than or equal to) sign becomes a '=' (greater than or equal to) sign. The calculation is x = (42 / -6), which simplifies to x = -7.

Option 2, x = -7, is incorrect because the inequality sign was not reversed after dividing by the negative number -6. Option 3, x = 7, is incorrect due to a sign error in the division of 42 by -6. Option 4, x = 7, is incorrect due to both errors: failing to reverse the inequality sign and making a sign error in the division.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Linear_Inequalities_1766423501458.png?
56.0,Inequalities,Linear Inequalities,medium,Find the range of values for 'x' that satisfies the inequality shown.,Linear Inequalities_1766423548276.png,"{""1"":""-4 < x < 3"",""2"":""x > 3"",""3"":""x < -4"",""4"":""-4 < x < 2""}",1.0,"To solve the compound inequality, we must isolate 'x' in the middle. First, subtract 5 from all three parts of the inequality. This gives: -1 - 5 < -2x < 13 - 5, which simplifies to -6 < -2x < 8. The next step is to divide all parts by -2 to solve for 'x'. A critical rule in inequalities is that when multiplying or dividing by a negative number, the direction of the inequality signs must be reversed. So, dividing by -2 and flipping the signs gives: (-6)/(-2) > x > 8/(-2). This simplifies to 3 > x > -4. To write this in the standard form with the smaller number on the left, we rearrange it as -4 < x < 3. Therefore, the correct range for x is given in option 1.

Option 2, x > 3, is incorrect. It arises from making a mistake when solving the left part of the inequality, -6 < -2x, and forgetting to flip the sign, resulting in 3 < x.

Option 3, x < -4, is incorrect. This error occurs when solving the right part of the inequality, -2x < 8, and forgetting to flip the sign, leading to x < -4.

Option 4, -4 < x < 2, is incorrect. This is the result of an arithmetic error in the first step. If one calculates -1 - 5 as -4 instead of -6, the inequality becomes -4 < -2x < 8. Solving this correctly would lead to -4 < x < 2.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Linear_Inequalities_1766423548276.png?
57.0,Inequalities,Linear Inequalities,hard,"Consider the system of linear inequalities shown in the image, where 'k' is a real parameter. Determine the set of all real values of 'k' for which the solution set for 'x' contains the entire interval [1, 2].",Linear Inequalities_1766423590654.png,"{""1"":""k = 19/6"",""2"":""k = 4/13"",""3"":""4/13 = k = 19/6"",""4"":""k = 4/13""}",1.0,"The correct option is 1.

First, we must solve each inequality for 'x' in terms of 'k'.

For the first inequality:
Multiply by the LCM of the denominators (2, 4, 3), which is 12.
6(x - k) + 3(3x - 1) < 4x
6x - 6k + 9x - 3 < 4x
15x - 6k - 3 < 4x
11x < 6k + 3
x < (6k + 3) / 11

For the second inequality:
Multiply by the LCM of the denominators (3, 2), which is 6.
2(4x + 5k) > 3(2x - k) + 6(1)
8x + 10k > 6x - 3k + 6
2x > -13k + 6
x > (-13k + 6) / 2

Combining these two results, the solution set for 'x' is the open interval ((-13k + 6) / 2, (6k + 3) / 11).

For this solution interval to contain the entire closed interval [1, 2], two conditions must be met simultaneously:
The lower bound of the solution must be less than or equal to 1, AND the upper bound must be greater than or equal to 2.

Condition 1: (-13k + 6) / 2 = 1
-13k + 6 = 2
-13k = -4
13k = 4 (multiplying by -1 reverses the inequality sign)
k = 4/13

Condition 2: (6k + 3) / 11 = 2
6k + 3 = 22
6k = 19
k = 19/6

For the solution set to contain [1, 2], 'k' must satisfy both k = 4/13 and k = 19/6. To satisfy both, 'k' must be greater than or equal to the larger of the two values. Since 19/6 ˜ 3.17 and 4/13 ˜ 0.31, the stricter condition is k = 19/6.

Option 2 is incorrect because satisfying k = 4/13 only ensures the lower bound is correct; it does not guarantee the upper bound is high enough to include 2. For instance, if k = 1 (which is = 4/13), the solution interval for x is approximately (-3.5, 0.82), which does not contain [1, 2].

Option 3 is incorrect. This range would imply that k is bounded from above, which is not the case. It is a common mistake made by incorrectly combining the two conditions k = 4/13 and k = 19/6.

Option 4 is incorrect. This range results from making an error in reversing the inequality sign when solving -13k = -4.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Linear_Inequalities_1766423590654.png?
58.0,Inequalities,Quadratic Inequalities,easy,Find the solution set for the quadratic inequality shown in the image.,Quadratic Inequalities_1766423622425.png,"{""1"":""x ? (3, 5)"",""2"":""x ? (-8, 3) ? (5, 8)"",""3"":""x ? [3, 5]"",""4"":""x ? (-8, 3] ? [5, 8)""}",1.0,"The correct answer is option 1. The inequality is x² - 8x + 15 < 0. First, we find the roots of the corresponding equation x² - 8x + 15 = 0. Factoring the quadratic expression gives (x - 3)(x - 5) = 0, so the roots are x = 3 and x = 5. Since the coefficient of the x² term is positive, the parabola opens upwards. The inequality asks for the values of x where the expression is less than 0, which corresponds to the region where the parabola is below the x-axis. This occurs between the roots. Therefore, the solution is 3 < x < 5, which is represented by the interval (3, 5).

Option 2, x ? (-8, 3) ? (5, 8), is the solution for the inequality x² - 8x + 15 > 0.

Option 3, x ? [3, 5], would be the solution if the inequality was non-strict, i.e., x² - 8x + 15 = 0.

Option 4, x ? (-8, 3] ? [5, 8), would be the solution for the inequality x² - 8x + 15 = 0.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Quadratic_Inequalities_1766423622425.png?
59.0,Inequalities,Quadratic Inequalities,medium,Find the set of all real values of x that satisfy the inequality shown in the image.,Quadratic Inequalities_1766423655571.png,"{""1"":""x ? [1, 5]"",""2"":""x ? (-8, 1] ? [5, 8)"",""3"":""x ? (1, 5)"",""4"":""x ? [-5, -1]""}",1.0,"The correct option is 1.

First, rearrange the inequality to bring all terms to one side, forming a standard quadratic inequality. Starting with the given expression, we subtract (x^2 + x - 2) from both sides: (2x^2 - 5x + 3) - (x^2 + x - 2) = 0. This simplifies to x^2 - 6x + 5 = 0.

Next, find the roots of the corresponding quadratic equation x^2 - 6x + 5 = 0. This equation can be factored as (x - 1)(x - 5) = 0. The roots are x = 1 and x = 5. These are the critical points that divide the number line into three intervals: (-8, 1), (1, 5), and (5, 8).

We need to find where the expression (x - 1)(x - 5) is less than or equal to zero. The graph of y = x^2 - 6x + 5 is an upward-opening parabola. Therefore, the expression is negative or zero between its roots. This means the inequality is satisfied for 1 = x = 5. In interval notation, this is [1, 5].

Option 2 is incorrect; it represents the solution to the opposite inequality, x^2 - 6x + 5 = 0. Option 3 is incorrect because it excludes the endpoints x=1 and x=5, whereas the 'less than or equal to' sign (=) means the endpoints must be included. Option 4 is incorrect and likely results from sign errors during the factorization of the quadratic, leading to incorrect roots of -1 and -5.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Quadratic_Inequalities_1766423655571.png?
